id,name,rank,parent_id,size
116158,Verrucidae,7,2899684,19
116170,Dendrogastrida,6,116172,12
116171,Laurida,6,116172,6
116172,Thecostraca,5,6656,1553
116175,Mystacocaridida,6,72039,3
116564,Nectiopoda,6,84343,36
116566,Deoterthridae,7,3696722,1
116573,Platycopida,6,6670,8
116577,Cytherellidae,7,116573,6
116578,Punciidae,7,116573,1
116653,Bathynellidae,7,75395,150
116654,Parabathynellidae,7,75395,310
116655,Koonungidae,7,75396,7
116656,Psammaspididae,7,75396,2
116657,Stygocarididae,7,75396,1
116658,Spelaeogriphidae,7,75401,2
116659,Halosbaenidae,7,75402,12
116660,Monodellidae,7,75402,12
116662,Tulumellidae,7,75402,2
116664,Lophogastridae,7,75400,8
116665,Lepidomysidae,7,75399,2
116666,Pentalophthalmidae,7,75399,2
116667,Stygiomysidae,7,75399,4
116668,Hirsutiidae,7,75397,1
116669,Mictocarididae,7,75397,1
116672,Ingolfiellidae,7,2692242,1
116688,Microcerberidae,7,29979,15
116691,Amphisopidae,7,29979,67
116693,Phreatoicidae,7,29979,8
116694,Calabozoidae,7,29979,1
116695,Apseudidae,7,75398,20
116696,Gnathiidae,7,29979,80
116700,Amphionididae,7,75394,1
116701,Bentheuphausiidae,7,6816,1
116703,Trichodactylidae,7,6683,56
116708,Dynomenidae,7,6683,6
116710,Homolodromiidae,7,6683,6
116712,Homolidae,7,6683,18
116713,Latreilliidae,7,6683,5
116722,Accacoeliidae,7,36660,7
116772,Cephalogonimidae,7,27871,11
116775,Syncoeliidae,7,36660,3
116778,Transversotrematidae,7,36660,51
116781,Cyclocoelidae,7,27871,20
116829,Atractotrematidae,7,27871,4
116834,Dasyrhynchidae,7,56692,2
116838,Hemiuridae,7,36660,77
116841,Diplodiscidae,7,27871,26
116848,Enenteridae,7,27871,18
116852,Derogenidae,7,36660,43
116853,Baicalarctiidae,7,79788,4
116860,Angiodictyidae,7,27871,9
116862,Apocreadiidae,7,27871,41
116869,Haplosplanchnidae,7,27871,19
116872,Strigeidae,7,2717078,335
116875,Lecithasteridae,7,36660,36
116887,Allodiscocotylidae,7,2486291,3
116893,Cryptogonimidae,7,6193,107
116900,Nippotaeniidea,6,6199,8
116905,Notocotylidae,7,27871,103
116909,Bunocotylidae,7,36660,2
116914,Orchipedidae,7,27871,2
116917,Otobothriidae,7,56692,14
116920,Azygiidae,7,36660,48
116922,Pachypsolidae,7,27871,1
116926,Philophthalmidae,7,27871,40
116927,Plectanocotylidae,7,2486291,8
116930,Sclerodistomidae,7,36660,4
116933,Dactylogyridae,7,2486284,554
116937,Haploporidae,7,27871,90
116942,Omphalometridae,7,27871,7
116945,Rugogastridae,7,3696344,2
116949,Sphyriocephalidae,7,56692,5
116963,Tetragonocephalidae,7,108263,10
116983,Thoracocotylidae,7,2486291,5
116985,Sundanonchidae,7,2486284,2
117497,Cephalodiscidae,7,33628,6
117500,Rhabdopleuridae,7,33629,12
117535,Leptestheriidae,7,84337,41
117565,Myxini,5,7711,82
117569,Hyperoartia,5,7711,495
117743,Flavobacteriia,5,976,12352
117747,Sphingobacteriia,5,976,2275
117840,Plesiobatidae,7,117851,1
117842,Hexatrygonidae,7,117851,2
117845,Zanobatidae,7,117887,1
117848,Platyrhinidae,7,3696488,5
117851,Myliobatiformes,6,7777,561
117867,Arhynchobatidae,7,7858,83
117879,Rhynchobatidae,7,117887,45
117884,Rhinidae,7,117887,1
117887,Rhinopristiformes,6,7777,135
117888,Torpediniformes,6,7777,70
117889,Hypnidae,7,117888,1
117892,Narkidae,7,117888,5
117905,Sphyranuridae,7,2486292,2
117914,Dalatiidae,7,282414,8
117915,Oxynotidae,7,282414,3
117916,Somniosidae,7,282414,13
117921,Etmopteridae,7,282414,74
117924,Centrophoridae,7,282414,43
117942,Desulfurellaceae,7,213113,14
117959,Euchaetidae,7,6833,43
117979,Mazocraeidae,7,2486291,24
117984,Microbothriidae,7,2486287,13
117988,Paratanaidae,7,75398,5
117998,Gotocotylidae,7,2486291,7
118001,Chrysiogenia,5,200938,12
118015,Echinorhiniformes,6,7777,6
118017,Pronocephalidae,7,3696344,6
118022,Hirundinellidae,7,36660,1
118069,Acrobolbaceae,7,3199,48
118143,Moringuidae,7,7933,23
118146,Chlopsidae,7,7933,22
118152,Synaphobranchidae,7,7933,46
118158,Derichthyidae,7,7933,3
118167,Nemichthyidae,7,7933,9
118175,Nettastomatidae,7,7933,56
118185,Galbulidae,7,9219,14
118318,Myxillidae,7,27925,15
118379,Bythograeidae,7,6683,20
118449,Callipodida,6,7553,21
118450,Callipodidae,7,118449,4
118453,Ethopolyidae,7,41362,5
118457,Chordeumatida,6,7553,130
118458,Cleidogonidae,7,118457,10
118461,Sphaerotheriida,6,7553,112
118462,Sphaerotheriidae,7,118461,56
118471,Nemasomatidae,7,41448,8
118474,Paradoxosomatidae,7,71419,286
118477,Spirostreptidae,7,30267,64
118480,Parajulidae,7,41448,6
118485,Polyzoniida,6,7553,46
118486,Polyzoniidae,7,118485,21
118489,Playtdesmida,6,7553,30
118490,Platydesmidae,7,118489,3
118495,Rhinocricidae,7,30266,8
118500,Striariidae,7,118457,2
118506,Scolopendrellidae,7,3696703,43
118512,Ammotrechidae,7,41356,28
118520,Chthoniidae,7,51799,380
118531,Phrynidae,7,61977,42
118535,Sternophoridae,7,51799,10
118546,Sejidae,7,34634,19
118550,Zerconidae,7,34634,204
118557,Trachyuropodidae,7,34634,2
118567,Sclerosomatidae,7,43271,270
118570,Ceratolasmatidae,7,43271,26
118583,Tricommatidae,7,43271,1
118584,Stygnidae,7,43271,57
118585,Agoristenidae,7,43271,8
118586,Assamiidae,7,43271,51
118587,Trionyxellidae,7,43271,2
118588,Podoctidae,7,43271,12
118589,Epedanidae,7,43271,25
118590,Stygnopsidae,7,43271,64
118591,Cranaidae,7,43271,27
118592,Manaosbiidae,7,43271,17
118593,Fissiphalliidae,7,43271,7
118594,Zalmoxidae,7,43271,126
118595,Samoidae,7,43271,8
118596,Stygnommatidae,7,43271,10
118597,Biantidae,7,43271,9
118598,Pyramidopidae,7,43271,11
118601,Cladonychiidae,7,43271,87
118602,Travuniidae,7,43271,3
118603,Sabaconidae,7,43271,36
118604,Neopilionidae,7,43271,121
118607,Trogulidae,7,43271,47
118629,Ogoveidae,7,43271,1
118630,Neogoveidae,7,43271,77
118631,Troglosironidae,7,43271,23
118632,Pettalidae,7,43271,132
118642,Andrognathidae,7,118489,27
118658,Eukoeneniidae,7,88344,28
118791,Rostratulidae,7,8906,2
118882,Brucellaceae,7,356,1692
118883,Sulfolobaceae,7,2281,143
118964,Deinococcales,6,188787,471
118968,Coxiellaceae,7,118969,262
118969,Legionellales,6,1236,651
119043,Rhodobiaceae,7,356,36
119045,Methylobacteriaceae,7,356,2709
119060,Burkholderiaceae,7,80840,10495
119068,Spirillaceae,7,32003,13
119069,Hydrogenophilales,6,2008785,96
119088,Enoplea,5,6231,3919
119089,Chromadorea,5,6231,14058
119091,Teratocephalidae,7,6236,12
119093,Trichuridae,7,6329,336
119158,Gnathostomatidae,7,6236,46
119166,Udonellidae,7,2486286,11
119237,Brahmaeidae,7,7088,12
119257,Endromidae,7,7088,36
119270,Carthaeidae,7,7088,1
119271,Eupterotidae,7,7088,87
119272,Anthelidae,7,7088,104
119273,Lemoniidae,7,7088,10
119424,Dendroceratida,6,6042,60
119425,Darwinellidae,7,119424,40
119428,Dictyoceratida,6,6042,634
119429,Spongiidae,7,119428,92
119486,Sinipercidae,7,1489940,18
119500,Lipotidae,7,91561,1
119550,Pterigynandraceae,7,13798,12
119552,Helodiaceae,7,13798,4
119664,Serritermitidae,7,85823,1
119670,Hymenopodidae,7,7504,167
119673,Amorphoscelidae,7,7504,15
119825,Mephitidae,7,33554,15
119859,Tolypothrichaceae,7,1161,186
120165,Monhysteridae,7,70219,141
120409,Verrucalvaceae,7,4763,83
120435,Lepidopleurida,6,6650,62
120436,Lepidopleuridae,7,120435,48
120440,Lyonsiidae,7,3696305,10
120445,Pandoridae,7,3696305,7
120450,Rhabdidae,7,32585,2
120458,Noetiidae,7,6552,16
120557,Phoronida,4,33208,33
120855,Syngamidae,7,6236,22
120880,Pseudosquillidae,7,75390,13
120883,Coronididae,7,75390,3
120886,Odontodactylidae,7,75390,14
120982,Amphiporidae,7,6227,123
120985,Megathyrididae,7,7578,2
120993,Dinophilidae,7,3696303,29
120999,Themistidae,7,792580,6
121001,Lichenoporidae,7,97265,12
121007,Filospermoidea,6,3696532,8
121010,Tubiluchidae,7,2082909,11
121069,Pythiales,6,3418804,954
121137,Eucalanidae,7,6833,34
121142,Scolecitrichidae,7,6833,78
121147,Acartiidae,7,6833,75
121179,Semelidae,7,2783445,31
121221,Pediculidae,7,1930602,6
121229,Pthiridae,7,1930602,3
121475,Aplysinidae,7,1779151,232
121495,Thorectidae,7,119428,241
121822,Calophyidae,7,7524,20
122013,Paratennulidae,7,34634,3
122016,Macrodinychidae,7,34634,1
122019,Nenteriidae,7,34634,5
122020,Trematuridae,7,34634,103
122021,Trigonuropodidae,7,34634,1
122022,Uroactiniidae,7,34634,2
122024,Asternoseiidae,7,34634,4
122025,Antennophoridae,7,34634,2
122026,Ichthyostomatogasteridae,7,34634,1
122028,Heterozerconidae,7,34634,1
122094,Metridinidae,7,6833,303
122108,Terpnacaridae,7,83137,25
122238,Syllidae,7,6348,719
122242,Spirastrellidae,7,1779155,38
122613,Cleveaceae,7,28908,9
122623,Blasiaceae,7,186785,4
122732,Apionidae,7,7041,308
122737,Attelabidae,7,7041,201
122753,Belidae,7,7041,69
122754,Brentidae,7,7041,156
122756,Ithyceridae,7,7041,1
122955,Rissoidae,7,216294,134
123097,Cladonematidae,7,406427,23
123219,Gastrodiscidae,7,3696344,1
123351,Stomiidae,7,48438,289
123372,Conopophagidae,7,9126,9
123764,Rhizangiidae,7,6125,28
123989,Balliales,6,2806,10
123990,Balliaceae,7,123989,5
124286,Megachilidae,7,7399,1140
124314,Vermileonidae,7,7147,32
124343,Riodinidae,7,7088,974
124423,Candidatus Hikarchaeia,5,28890,11
124754,Rhinopomatidae,7,9397,6
124757,Thyropteridae,7,9397,4
124769,Emblingiaceae,7,3699,2
124811,Carlemanniaceae,7,4143,3
124867,Pandaceae,7,3646,16
125011,Bonnetiaceae,7,3646,12
125017,Cardiopteridaceae,7,2986939,21
125020,Ctenolophonaceae,7,3646,3
125023,Elatinaceae,7,3646,47
125031,Lepidobotryaceae,7,233875,2
125039,Lophopyxidaceae,7,3646,2
125042,Paracryphiaceae,7,703246,8
125045,Pentaphylacaceae,7,41945,229
125048,Peridiscaceae,7,41946,14
125054,Strasburgeriaceae,7,232392,2
125295,Bombycillidae,7,9126,8
125316,Beutenbergiaceae,7,85006,21
125898,Lytocestidae,7,108240,49
125906,Synaxidae,7,6683,2
125909,Polychelidae,7,6683,20
126175,Hemiphlebiidae,7,6961,1
126176,Isostictidae,7,6961,15
126177,Platycnemididae,7,6961,178
126180,Lestidae,7,6961,88
126181,Lestoideidae,7,6961,2
126182,Megapodagrionidae,7,6961,78
126183,Perilestidae,7,6961,10
126184,Pseudolestidae,7,6961,1
126185,Synlestidae,7,6961,23
126187,Chlorocyphidae,7,6961,53
126188,Dicteriadidae,7,6961,2
126189,Euphaeidae,7,6961,48
126190,Polythoridae,7,6961,60
